Attribute,Component 1,Component 2
SalePrice,0.40669474020067636,-0.1070873632492547
OverallQual,0.3666034440869781,-0.2880621157294695
GrLivArea,0.34153936247547734,0.1269348132474742
1stFlrSF,0.3595240360911069,0.2391050316701418
TotalBsmtSF,0.36022926929339205,0.11874829210719454
GarageArea,0.33783221428359633,-0.13069564188531982
YearBuilt,0.26213080305471986,-0.4783740814374203
MasVnrArea,0.25835984794427513,-0.1774810763846622
LotFrontage,0.2249143551319043,0.45485689939868373
LotArea,0.1560450796454797,0.5777977589495328
