1stFlrSF,TotalBsmtSF,SalePrice,OverallQual,GrLivArea,GarageArea,YearBuilt,MasVnrArea,LotFrontage,LotArea
856,856,208500,7,1710,548,2003,196.0,65.0,8450
1262,1262,181500,6,1262,460,1976,0.0,80.0,9600
920,920,223500,7,1786,608,2001,162.0,68.0,11250
961,756,140000,7,1717,642,1915,0.0,60.0,9550
1145,1145,250000,8,2198,836,2000,350.0,84.0,14260
796,796,143000,5,1362,480,1993,0.0,85.0,14115
1694,1686,307000,8,1694,636,2004,186.0,75.0,10084
1022,952,129900,7,1774,468,1931,0.0,51.0,6120
1077,991,118000,5,1077,205,1939,0.0,50.0,7420
1040,1040,129500,5,1040,384,1965,0.0,70.0,11200
1182,1175,345000,9,2324,736,2005,286.0,85.0,11924
1494,1494,279500,7,1494,840,2006,306.0,91.0,10652
854,832,132000,7,854,576,1929,0.0,51.0,6120
1296,0,90000,4,1296,516,1967,0.0,72.0,10791
1114,1114,159000,5,1114,576,2004,0.0,66.0,13695
1339,1029,139000,5,1339,294,1958,0.0,70.0,7560
1158,1158,325300,8,2376,853,2005,380.0,101.0,14215
1108,637,139400,7,1108,280,1930,0.0,57.0,7449
1795,1777,230000,8,1795,534,2002,281.0,75.0,9742
1060,1040,129900,5,1060,572,1976,0.0,44.0,4224
1600,1566,256300,8,1600,890,2007,640.0,110.0,14230
900,900,134800,5,900,576,1951,0.0,60.0,7200
1704,1704,306000,8,1704,772,2007,200.0,98.0,11478
1600,1484,207500,5,1600,319,1957,0.0,47.0,16321
520,520,68500,4,520,240,1927,0.0,60.0,6324
649,649,40000,4,1317,250,1920,0.0,50.0,8500
1234,1234,179900,8,1234,484,2007,0.0,85.0,11049
1700,1398,165500,5,1700,447,1959,0.0,70.0,10552
1561,1561,277500,9,1561,556,2005,246.0,60.0,7313
1132,1117,309000,8,2452,691,2004,132.0,108.0,13418
1097,1097,145000,5,1097,672,1994,0.0,112.0,10859
1297,1297,153000,5,1297,498,1954,650.0,74.0,8532
1057,1057,109000,5,1057,246,1953,0.0,68.0,7922
1152,0,82000,4,1152,0,1955,0.0,65.0,6040
1324,1088,160000,6,1324,440,1965,101.0,84.0,8658
1328,1350,170000,5,1328,308,1959,0.0,115.0,16905
1150,1150,141000,5,1150,300,1959,0.0,70.0,7945
1752,1752,319900,9,1752,576,2005,412.0,61.0,7658
1518,1434,239686,7,2149,670,2003,0.0,48.0,12822
1656,1656,249700,8,1656,826,2006,0.0,84.0,11096
736,736,113000,4,1452,0,1920,0.0,33.0,4456
955,955,127000,5,955,386,1966,0.0,66.0,7742
816,816,114500,6,1176,528,1934,0.0,52.0,6240
816,816,110000,5,816,516,1963,0.0,110.0,8472
1842,1842,385000,9,1842,894,1981,0.0,68.0,50271
1360,384,130000,5,1360,572,1955,0.0,60.0,7134
1425,1425,180500,6,1425,576,1964,272.0,100.0,10175
983,970,172500,8,1739,480,1999,456.0,24.0,2645
860,860,196500,7,1720,565,2004,0.0,89.0,11645
1426,1410,438780,10,2945,641,2006,1031.0,66.0,13682
780,780,124900,5,780,352,1972,0.0,60.0,7200
1158,1158,158000,6,1158,576,2004,0.0,63.0,13072
581,530,101000,5,1111,288,1920,0.0,60.0,7200
1370,1370,202500,8,1370,484,2006,178.0,44.0,6442
902,576,140000,7,1710,480,1921,0.0,50.0,10300
1143,1143,317000,8,2473,852,2004,344.0,76.0,9591
1479,1453,226000,7,1479,558,2003,167.0,72.0,10665
747,747,80000,4,747,220,1945,0.0,47.0,4608
1304,1304,225000,7,2287,667,1953,0.0,81.0,15593
2223,2223,244000,7,2223,516,1973,1115.0,95.0,13651
845,845,129500,4,845,360,1982,0.0,69.0,7599
885,832,185000,7,1718,427,1998,40.0,74.0,10141
1086,1086,144900,5,1086,490,1954,104.0,85.0,10200
840,840,107400,3,1605,379,1915,0.0,60.0,5790
526,462,91000,4,988,297,1973,0.0,21.0,1596
1072,672,127000,5,1285,240,1948,0.0,50.0,8635
1768,1768,136500,4,1768,0,1968,0.0,72.0,10778
682,440,110000,5,1230,440,1910,0.0,60.0,10440
1182,896,193500,6,2142,509,1968,576.0,100.0,13000
1337,1237,153500,6,1337,405,1998,443.0,32.0,4500
1563,1563,245000,8,1563,758,2007,468.0,78.0,10206
1065,1065,126500,5,1065,461,1960,66.0,80.0,8892
1301,1288,260000,8,2417,462,1991,284.0,121.0,16059
684,684,174000,6,1560,400,2005,0.0,122.0,11911
612,612,164500,6,1224,528,2009,76.0,40.0,3951
1013,1013,85000,3,1526,0,1915,0.0,105.0,8470
990,990,123600,4,990,0,1994,0.0,60.0,8070
1040,0,109900,4,1040,420,1950,0.0,60.0,7200
1235,1235,98600,5,1235,480,1961,203.0,85.0,8500
964,876,163500,5,964,432,1921,0.0,80.0,13360
1260,1214,133900,6,2291,506,1910,0.0,60.0,7200
905,824,204750,6,1786,684,1997,0.0,69.0,9337
1588,1588,214000,7,1588,472,1999,183.0,78.0,10264
960,960,94750,4,960,432,1965,48.0,73.0,10921
835,458,83000,5,835,366,1920,0.0,85.0,10625
1225,950,128950,4,1225,0,1959,0.0,77.0,9320
977,741,178000,6,1732,476,1985,336.0,77.0,9206
1535,0,118964,5,1535,410,1979,0.0,64.0,7018
1226,1226,198900,7,1226,740,2009,0.0,94.0,10402
1053,1053,250000,8,1992,648,2003,768.0,75.0,9375
1047,641,100000,4,1047,273,1885,0.0,60.0,10800
789,789,115000,5,789,250,1948,0.0,50.0,6000
