LotArea,Street,Alley,LotShape,LandContour,LandSlope,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,HeatingQC,CentralAir,Electrical,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,SalePrice,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRA,Condition1_RRN,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_RRA,Condition2_RRN,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_WD,PC1,PC2,KMeans,Agglomerative,MDS1,MDS2
8450,1,0.0,4,4,1,CollgCr,2.0,7,5,2003,2003,5,7,196.0,4,3,9.0,3.0,1.0,6.0,1.0,856,5,1,5.0,1710,1,0,2,1,3,1,4,8,8,0,0.0,5.0,2.0,2,548,3.0,3.0,3,0,61,0,0,0,0,0.0,0.0,0,2,2008,208500,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-3.7869055517516763,-1.9707680830601964,2,1,-0.27178172488658114,-0.31690999285692983
9600,1,0.0,4,4,1,Veenker,1.0,6,8,1976,1976,5,7,0.0,3,3,9.0,3.0,4.0,5.0,1.0,1262,5,1,5.0,1262,0,1,2,0,3,1,3,6,8,1,3.0,5.0,2.0,2,460,3.0,3.0,3,298,0,0,0,0,0,0.0,0.0,0,5,2007,181500,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.11247836486590561,2.3275409627264514,1,0,-0.28156435814720676,0.1548983584256713
11250,1,0.0,3,4,1,CollgCr,2.0,7,5,2001,2002,5,7,162.0,4,3,9.0,3.0,2.0,6.0,1.0,920,5,1,5.0,1786,1,0,2,1,3,1,4,6,8,1,3.0,5.0,2.0,2,608,3.0,3.0,3,0,42,0,0,0,0,0.0,0.0,0,9,2008,223500,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-4.342826959654106,-1.458907027935469,2,1,0.03053111506760645,0.07784985960119156
14260,1,0.0,3,4,1,NoRidge,2.0,8,5,2000,2000,5,7,350.0,4,3,9.0,3.0,3.0,6.0,1.0,1145,5,1,5.0,2198,1,0,2,1,4,1,4,9,8,1,3.0,5.0,2.0,3,836,3.0,3.0,3,192,84,0,0,0,0,0.0,0.0,0,12,2008,250000,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-6.302387907384044,-1.2024381468214569,2,1,0.08926692614504866,-0.41425076210685274
14115,1,0.0,3,4,1,Mitchel,1.5,5,5,1993,1995,5,7,0.0,3,3,9.0,3.0,1.0,6.0,1.0,796,5,1,5.0,1362,1,0,1,1,1,1,3,5,8,0,0.0,5.0,1.0,2,480,3.0,3.0,3,40,30,0,320,0,0,0.0,3.0,700,10,2009,143000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.564690796439288,0.4885199289689017,1,0,0.09627488127164838,-0.1850955534088561
10084,1,0.0,4,4,1,Somerst,1.0,8,5,2004,2005,5,7,186.0,4,3,10.0,3.0,3.0,6.0,1.0,1686,5,1,5.0,1694,1,0,2,0,3,1,4,7,8,1,4.0,5.0,2.0,2,636,3.0,3.0,3,255,57,0,0,0,0,0.0,0.0,0,8,2007,307000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-5.179247341975272,-2.1360673799726353,2,1,0.007862196861056173,-0.22162169723197223
10382,1,0.0,3,4,1,NWAmes,2.0,7,6,1973,1973,5,7,240.0,3,3,9.0,3.0,2.0,5.0,4.0,1107,5,1,5.0,2090,1,0,2,1,3,1,3,7,8,2,3.0,5.0,2.0,2,484,3.0,3.0,3,235,204,228,0,0,0,0.0,0.0,350,11,2009,200000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-2.3623783759676646,3.311969433553438,1,0,-0.11392132104462908,0.3838723143919532
7420,1,0.0,4,4,1,BrkSide,1.25,5,6,1939,1950,5,7,0.0,3,3,8.0,3.0,1.0,6.0,1.0,991,5,1,5.0,1077,1,0,1,0,2,2,3,5,8,2,3.0,5.0,2.0,1,205,4.0,3.0,3,0,4,0,0,0,0,0.0,0.0,0,1,2008,118000,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.4788092457335766,-0.07003092770974281,3,3,-0.5617253379900871,-0.24558569881084338
11200,1,0.0,4,4,1,Sawyer,1.0,5,5,1965,1965,3,7,0.0,3,3,8.0,3.0,1.0,3.0,1.0,1040,5,1,5.0,1040,1,0,1,0,3,1,3,5,8,0,0.0,1.0,1.0,1,384,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,0,2,2008,129500,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.247504085522782,2.4220732431995193,3,0,-0.36590529234952596,-0.25211976686083537
12968,1,0.0,2,4,1,Sawyer,1.0,5,6,1962,1962,3,7,0.0,3,3,8.0,3.0,1.0,5.0,1.0,912,3,1,5.0,912,1,0,1,0,2,1,3,4,8,0,0.0,1.0,1.0,1,352,3.0,3.0,3,140,0,0,0,176,0,0.0,0.0,0,9,2008,144000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.3194230733924286,3.4953814088305717,3,0,0.17150073296054405,0.23828828030002575
